Pertanyaan|Jawaban
[cite_start]Berapa batas maksimal akses data Informasi Debitur bagi Pelapor?|Pelapor hanya dapat mengakses data Informasi Debitur paling banyak sebesar 100% (seratus persen) dari jumlah Debitur yang dilaporkan pada posisi data 2 (dua) bulan laporan sebelumnya. [cite: 303]
[cite_start]Kapan Otoritas Jasa Keuangan dapat melakukan penutupan hak akses permintaan Informasi Debitur Pelapor?|Otoritas Jasa Keuangan dapat melakukan penutupan hak akses permintaan Informasi Debitur Pelapor dalam hal terdapat indikasi adanya penyalahgunaan permintaan Informasi Debitur, risiko keamanan data, dan/atau gangguan terhadap kinerja SLIK secara keseluruhan yang diakibatkan oleh aktivitas permintaan Informasi Debitur oleh Pelapor. [cite: 379]
[cite_start]Bagaimana cara meminta Informasi Debitur kepada Pelapor?|Permintaan Informasi Debitur kepada Pelapor dilakukan dengan cara Debitur yang bersangkutan atau pihak yang diberi kuasa mengajukan permintaan Informasi Debitur kepada Pelapor yang memberikan Fasilitas Penyediaan Dana, pertanggungan/pengelolaan risiko, penjaminan, atau LPBBTI kepada Debitur yang bersangkutan, dengan menunjukkan identitas diri asli atau surat kuasa asli dan identitas diri asli dari Pemberi Kuasa dan Penerima Kuasa (jika dikuasakan). [cite: 414, 415, 416, 417]
[cite_start]Apa yang harus dilakukan Pelapor setelah menerima permintaan Informasi Debitur dari Debitur?|Pelapor melakukan upaya untuk dapat meyakini bahwa permintaan Informasi Debitur dilakukan oleh Debitur yang berhak. [cite: 419]
[cite_start]Apa yang harus ditatausahakan Pelapor terkait pemberian Informasi Debitur atas dasar permintaan Debitur?|Pelapor harus menatausahakan semua pemberian Informasi Debitur, paling sedikit meliputi tanggal pemberian Informasi Debitur, nama Debitur, peruntukan Informasi Debitur serta pegawai Pelapor yang mengajukan permintaan dan menerima Informasi Debitur. [cite: 421]
[cite_start]Apa yang harus dilakukan Pelapor dalam rangka verifikasi penggunaan Informasi Debitur?|Pelapor harus menatausahakan dokumen terkait penggunaan Informasi Debitur. [cite: 345]
[cite_start]Apa saja dokumen yang ditatausahakan untuk mendukung kelancaran proses pemberian fasilitas?|Dokumen yang ditatausahakan mencakup aplikasi pengajuan kredit/pembiayaan, dokumen pengajuan pertanggungan/pengelolaan risiko, dokumen pengajuan penjaminan, baik berbasis digital maupun dalam bentuk pengajuan luring serta dokumen calon Debitur (KTP/paspor untuk perseorangan, NPWP/akta pendirian/perubahan anggaran dasar terakhir untuk badan usaha). [cite: 345, 346, 347, 348]
[cite_start]Apa saja dokumen yang ditatausahakan untuk menerapkan manajemen risiko kredit atau pembiayaan, pertanggungan/pengelolaan risiko, penjaminan?|Dokumen yang ditatausahakan antara lain daftar nominatif Debitur, daftar kepesertaan asuransi, dan/atau daftar terjamin existing; dokumen perencanaan dan pelaksanaan audit; formulir pengaduan Debitur dan dokumen identitas Debitur; dan/atau surat pengajuan klaim. [cite: 351, 352, 353, 354, 355, 356, 357, 358, 359, 360]
[cite_start]Apa saja dokumen yang ditatausahakan untuk mengidentifikasi kualitas Debitur?|Dokumen yang ditatausahakan antara lain daftar nominatif Debitur, daftar kepesertaan asuransi, dan/atau daftar terjamin existing. [cite: 361]
[cite_start]Apa saja dokumen yang ditatausahakan untuk pengelolaan sumber daya manusia pada Pelapor?|Dokumen yang ditatausahakan antara lain dokumen identitas pegawai dan/atau calon pegawai; formulir aplikasi atau surat lamaran kerja calon pegawai; dan/atau daftar pegawai existing. [cite: 362, 363, 364, 365, 366, 367]
[cite_start]Apa saja dokumen yang ditatausahakan untuk verifikasi dalam rangka kerja sama Pelapor dengan pihak ketiga?|Dokumen yang ditatausahakan antara lain dokumen identitas pihak ketiga; dokumen pengajuan sebagai calon vendor dan dokumen identitas vendor; dan/atau surat penawaran yang disertai dengan dokumen pendukung kontrak. [cite: 369, 370, 371, 372, 373, 374, 375, 376]
[cite_start]Bagaimana waktu operasional permintaan Informasi Debitur disampaikan?|Waktu operasional permintaan Informasi Debitur disampaikan lebih lanjut melalui aplikasi SLIK. [cite: 378]
[cite_start]Siapa yang dapat meminta Informasi Debitur kepada Otoritas Jasa Keuangan dalam rangka pelaksanaan peraturan perundang-undangan dan/atau nota kesepahaman dengan Otoritas Jasa Keuangan?|Pihak lain. [cite: 433, 434, 435]
[cite_start]Bagaimana cara pihak lain yang mengajukan permintaan Informasi Debitur secara rutin?|Pihak lain yang mengajukan permintaan Informasi Debitur secara rutin mengadakan perjanjian dan/atau nota kesepahaman dengan Otoritas Jasa Keuangan. [cite: 439, 440]
[cite_start]Bagaimana cara pihak lain yang mengajukan permintaan Informasi Debitur secara insidental?|Pihak lain yang mengajukan permintaan Informasi Debitur secara insidental menyampaikan permohonan secara tertulis yang ditandatangani oleh pihak yang memiliki kewenangan, dengan menyampaikan alasan dan tujuan penggunaan Informasi Debitur serta identitas Debitur yang dimintakan informasi. [cite: 441, 442]
[cite_start]Kapan Informasi Debitur diberikan kepada pihak lain?|Dalam hal permintaan Informasi Debitur telah memenuhi persyaratan sebagaimana dimaksud dalam Surat Edaran Otoritas Jasa Keuangan ini, Informasi Debitur diberikan sesuai dengan alasan dan tujuan penggunaan. [cite: 443]
[cite_start]Apa yang dimaksud dengan "Create (C)" dalam operasi data?|Create (C) adalah operasi data yang digunakan untuk data baru pada saat pertama kali dilaporkan. [cite: 719]
[cite_start]Apa yang dimaksud dengan "Update (U)" dalam operasi data?|Update (U) adalah operasi data yang digunakan untuk data yang mengalami perubahan dari data yang sebelumnya dilaporkan. [cite: 722]
[cite_start]Apa yang dimaksud dengan "Delete (D)" dalam operasi data?|Delete (D) adalah operasi data yang digunakan untuk menghapus data yang pernah dilaporkan sebelumnya. [cite: 723]
[cite_start]Apa yang dimaksud dengan "Not Change (N)" dalam operasi data?|Not Change (N) adalah operasi data yang digunakan untuk data yang tidak mengalami perubahan dari data yang sebelumnya dilaporkan. [cite: 724]
[cite_start]Bagaimana jika terdapat segmen yang tidak memiliki data?|Apabila terdapat segmen yang tidak memiliki data, maka segmen tersebut tetap disampaikan dengan berisi header laporan segmennya saja. [cite: 715]
[cite_start]Apa yang perlu diperhatikan terkait pengisian kolom "Nama Sesuai Identitas" untuk Debitur perseorangan?|Kolom ini diisi dengan nama Debitur sesuai dengan nama tanpa gelar sesuai dengan yang tercantum dalam dokumen identitas Debitur. [cite: 802, 803]
[cite_start]Bagaimana pengisian kolom "Nama Lengkap (Nama Tanpa Singkatan)" jika nama sesuai dokumen identitas mengandung singkatan?|Jika nama sesuai dokumen identitas mengandung singkatan, maka Pelapor meminta informasi kepada Debitur mengenai kepanjangan dari singkatan nama tersebut. [cite: 810]
[cite_start]Bagaimana pengisian kolom "Nomor Pokok Wajib Pajak (NPWP)" untuk istri yang tidak memiliki NPWP sendiri?|Istri yang tidak memiliki NPWP sendiri, pelaporannya dapat menggunakan NPWP suami jika tidak terdapat pemisahan harta. [cite: 862]
[cite_start]Bagaimana pengisian kolom "Nomor Telepon" jika nomor telepon mengandung karakter selain angka?|Jika nomor telepon mengandung karakter selain angka maka karakter tersebut tidak perlu disertakan. [cite: 886, 887]
[cite_start]Bagaimana pengisian kolom "Nomor Telepon" untuk nomor luar negeri?|Untuk nomor luar negeri disertai dengan kode negara. [cite: 891]
[cite_start]Apa yang dimaksud dengan "Plafon Awal"?|Plafon awal diisi dengan nominal plafon awal dari kredit atau pembiayaan dalam satuan penuh mata uang Rupiah. [cite: 922]
[cite_start]Apa yang dimaksud dengan "Plafon"?|Plafon diisi dengan nominal plafon efektif dari kredit atau pembiayaan dalam satuan penuh mata uang Rupiah. [cite: 923]
[cite_start]Apa yang dimaksud dengan "Realisasi atau Pencairan Bulan Berjalan"?|Kolom ini diisi dengan nominal realisasi atau pencairan kredit atau pembiayaan yang dilakukan pada bulan data yang dilaporkan dengan satuan penuh mata uang Rupiah. [cite: 935, 936]
[cite_start]Apa yang dimaksud dengan "Denda"?|Kolom ini diisi dengan nominal denda yang dikenakan terhadap Debitur dalam satuan penuh mata uang Rupiah. [cite: 941]
[cite_start]Apa yang dimaksud dengan "Baki Debet"?|Kolom ini diisi dengan nominal baki debet dari kredit atau pembiayaan dalam satuan penuh mata uang Rupiah. [cite: 944]
[cite_start]Apa yang dimaksud dengan "Tunggakan Pokok"?|Kolom ini diisi dengan nominal tunggakan pokok dari kredit atau pembiayaan dalam satuan penuh mata uang Rupiah. [cite: 977]
[cite_start]Apa yang dimaksud dengan "Tunggakan Bunga atau Imbalan"?|Kolom ini diisi dengan nominal tunggakan bunga atau imbalan dari kredit atau pembiayaan dalam satuan penuh mata uang Rupiah. [cite: 981, 982]
[cite_start]Apa yang dimaksud dengan "Jumlah Hari Tunggakan"?|Kolom ini diisi dengan jumlah hari tunggakan fasilitas kredit atau pembiayaan yang dilaporkan (tunggakan pokok dan/atau bunga atau imbalan). [cite: 986]
[cite_start]Apa yang dimaksud dengan "Frekuensi Tunggakan"?|Kolom ini diisi dengan frekuensi tunggakan fasilitas kredit atau pembiayaan yang terjadi (tunggakan pokok dan/atau bunga atau imbalan) sejak terakhir kali melakukan pelunasan tunggakan. [cite: 991, 992]
[cite_start]Apa yang dimaksud dengan "Frekuensi Restrukturisasi"?|Kolom ini diisi dengan frekuensi restrukturisasi sejak tanggal awal kredit atau pembiayaan. [cite: 995]
[cite_start]Apa yang dimaksud dengan "Tanggal Restrukturisasi Awal"?|Kolom ini diisi dengan tanggal pada saat fasilitas kredit atau pembiayaan direstrukturisasi pertama kali. [cite: 1000]
[cite_start]Apa yang dimaksud dengan "Tanggal Restrukturisasi Akhir"?|Kolom ini diisi dengan tanggal pada saat fasilitas kredit atau pembiayaan direstrukturisasi terakhir kali. [cite: 1007]
[cite_start]Apa yang dimaksud dengan "Kode Kondisi" dalam konteks Fasilitas Kredit atau Pembiayaan?|Kode Kondisi menunjukkan kondisi dari fasilitas kredit atau pembiayaan yang dilaporkan. [cite: 1020]
[cite_start]Apa yang dimaksud dengan "Keterangan" dalam konteks Fasilitas Kredit atau Pembiayaan?|Kolom ini diisi jika ada keterangan tambahan atau keterangan lain yang diperlukan terkait fasilitas kredit atau pembiayaan yang dilaporkan. [cite: 1030]
[cite_start]Apa yang dimaksud dengan "Sovereign Rate" dalam konteks Fasilitas Surat Berharga?|Kolom ini diisi dengan sovereign rate negara perusahaan atau lembaga penerbit surat berharga. [cite: 1058]
[cite_start]Apa yang dimaksud dengan "Peringkat Surat Berharga"?|Kolom ini diisi dengan peringkat surat berharga yang dilaporkan. [cite: 1063]
[cite_start]Apa yang dimaksud dengan "Nilai Perolehan" dalam konteks Fasilitas Surat Berharga?|Kolom ini diisi dengan nilai perolehan surat berharga dalam satuan penuh mata uang Rupiah. [cite: 1092]
[cite_start]Apa yang dimaksud dengan "Suku Bunga atau Imbalan" dalam konteks Fasilitas Surat Berharga?|Kolom ini diisi dengan persentase suku bunga atau imbalan fasilitas surat berharga. [cite: 1095]
[cite_start]Apa yang dimaksud dengan "Tunggakan" dalam konteks Fasilitas Surat Berharga?|Kolom ini diisi dengan nominal tunggakan (pokok dan/atau bunga atau imbalan) dalam satuan penuh mata uang Rupiah. [cite: 1097]
[cite_start]Apa yang dimaksud dengan "Tanggal Jatuh Tempo" dalam konteks Fasilitas Irrevocable L/C?|Kolom ini berisi tanggal jatuh tempo L/C. [cite: 1158]
[cite_start]Apa yang dimaksud dengan "Setoran Jaminan" dalam konteks Fasilitas Irrevocable L/C?|Kolom ini berisi nilai nominal uang yang diterima Pelapor sebagai jaminan yang akan diperhitungkan pada waktu penyelesaian transaksi dalam satuan penuh mata uang Rupiah. [cite: 1182]
[cite_start]Apa yang dimaksud dengan "Nama Penerima Jaminan/Obligee" dalam konteks Fasilitas Garansi yang Diberikan?|Kolom ini diisi dengan pihak yang menerima jaminan/obligee garansi yang diberikan. [cite: 1247]
[cite_start]Apa yang dimaksud dengan "Suku Bunga atau Imbalan" dalam konteks Fasilitas Lain?|Kolom ini diisi dengan persentase suku bunga atau imbalan per tahun fasilitas dimaksud. [cite: 1301]
[cite_start]Apa yang dimaksud dengan "Sumber Dana" dalam konteks Fasilitas Lain?|Kolom ini diisi dengan kode pelapor atau kode golongan pihak ketiga sumber dana fasilitas. [cite: 1291]
[cite_start]Apa yang dimaksud dengan "Nilai Agunan Sesuai NJOP atau Nilai Wajar"?|Kolom ini diisi dengan nilai nominal berdasarkan Nilai Jual Obyek Pajak (NJOP) atau nilai wajar atas barang yang dijadikan agunan. [cite: 1412, 1413, 1414]
[cite_start]Apa yang dimaksud dengan "Nilai Agunan Menurut Pelapor"?|Kolom ini diisi dengan nilai agunan berdasarkan penilaian Pelapor atas barang yang dijadikan agunan berupa barang bergerak, barang tak bergerak, persediaan barang, dan lainnya. [cite: 1419]
[cite_start]Apa yang dimaksud dengan "Nilai Agunan Menurut Penilai Independen"?|Kolom ini diisi dengan nilai agunan berdasarkan penilaian oleh penilai independen dalam satuan penuh mata uang Rupiah. [cite: 1432]
[cite_start]Apa yang dimaksud dengan "Status Paripasu"?|Kolom ini diisi dengan “Y” jika agunan paripasu dan “T” jika agunan bukan paripasu. [cite: 1442]
[cite_start]Apa yang dimaksud dengan "Persentase Paripasu"?|Kolom ini berisi besar persentase nilai agunan yang diserahkan Debitur kepada Pelapor untuk menjamin fasilitas yang diberikan. [cite: 1444]
[cite_start]Apa yang dimaksud dengan "Diasuransikan" dalam konteks Agunan?|Kolom ini diisi dengan “Y” jika agunan diasuransikan dan “T” jika agunan tidak diasuransikan. [cite: 1449]
[cite_start]Apa yang dimaksud dengan "Nomor Identitas Penjamin"?|Kolom ini diisi dengan nomor identitas penjamin. [cite: 1460]
[cite_start]Apa yang dimaksud dengan "Pangsa Kepemilikan" dalam konteks Pengurus dan/atau Pemilik Debitur Badan Usaha?|Kolom ini diisi dengan persentase kepemilikan terhadap Debitur badan usaha. [cite: 1541]
[cite_start]Apa yang dimaksud dengan "Posisi Laporan Keuangan Tahunan Debitur Badan Usaha"?|Kolom ini diisi dengan posisi laporan keuangan tahunan untuk Debitur badan usaha dengan format yyyymm. [cite: 1561]
[cite_start]Apa yang dimaksud dengan "Piutang Usaha atau Pembiayaan (Aset Lancar)"?|Pos ini merupakan seluruh klaim perusahaan yang timbul karena penjualan barang atau jasa dalam rangka kegiatan usaha normal perusahaan yang diharapkan diperoleh di masa yang akan datang setelah dikurangi dengan cadangan kerugian penurunan nilai. [cite: 1578]
Apa yang dimaksud dengan "Kas dan Setara Kas (Aset Lancar)"?|Pos ini merupakan kas (cash on hand), rekening giro, dan tabungan yang tidak dibatasi penggunaannya. [cite_start]Setara kas adalah investasi yang sifatnya sangat likuid, berjangka pendek, dan yang dengan cepat dapat dijadikan kas dalam jumlah tertentu tanpa menghadapi risiko perubahan nilai yang signifikan. [cite: 1569, 1570, 1571]
[cite_start]Apa yang dimaksud dengan "Investasi atau Aset Keuangan Lainnya (Aset Lancar)"?|Pos ini merupakan investasi atau aset keuangan yang akan jatuh tempo dalam waktu kurang dari 12 (dua belas) bulan setelah periode pelaporan. [cite: 1582]
[cite_start]Apa yang dimaksud dengan "Aset Lancar Lainnya (Aset Lancar)"?|Pos ini merupakan aset lancar yang tidak termasuk kategori sebelumnya. [cite: 1587]
[cite_start]Apa yang dimaksud dengan "Piutang Usaha atau Pembiayaan (Aset Tidak Lancar)"?|Pos ini merupakan seluruh klaim perusahaan yang timbul karena penjualan barang atau jasa dalam rangka kegiatan usaha normal perusahaan yang akan jatuh tempo dalam waktu lebih dari 12 (dua belas) bulan setelah periode pelaporan,  setelah dikurangi dengan cadangan kerugian penurunan nilai. [cite: 1595]
[cite_start]Apa yang dimaksud dengan "Investasi atau Aset Keuangan Lain (Aset Tidak Lancar)"?|Pos ini merupakan investasi atau aset keuangan lain yang akan jatuh tempo dalam waktu lebih dari 12 (dua belas) bulan setelah periode pelaporan. [cite: 1599]
[cite_start]Apa yang dimaksud dengan "Aset Tidak Lancar Lain (Aset Tidak Lancar)"?|Pos ini merupakan aset tidak lancar yang tidak termasuk kategori sebelumnya. [cite: 1603]
Apa yang dimaksud dengan "Pinjaman Jangka Pendek (Liabilitas Jangka Pendek)"?|Pos ini merupakan saldo pinjaman perusahaan dari bank atau lembaga keuangan lainnya, termasuk cerukan. [cite_start]Bunga yang telah jatuh tempo disajikan sebagai akrual. [cite: 1613, 1614]
[cite_start]Apa yang dimaksud dengan "Utang Usaha Jangka Pendek (Liabilitas Jangka Pendek)"?|Pos ini merupakan liabilitas yang terjadi dalam rangka kegiatan usaha normal perusahaan untuk membayar barang atau jasa yang telah diterima atau dipasok dan telah ditagih melalui faktur atau secara formal sudah disepakati dengan pemasok. [cite: 1618]
[cite_start]Apa yang dimaksud dengan "Liabilitas Jangka Pendek Lain (Liabilitas Jangka Pendek)"?|Pos ini merupakan liabilitas jangka pendek yang tidak termasuk kategori sebelumnya. [cite: 1623]
Apa yang dimaksud dengan "Pinjaman Jangka Panjang (Liabilitas Jangka Panjang)"?|Pos ini merupakan liabilitas jangka panjang perusahaan yang akan jatuh tempo dalam waktu lebih dari 12 (dua belas) bulan setelah periode pelaporan. [cite_start]Liabilitas yang termasuk dalam pos ini antara lain pinjaman, surat berharga yang diterbitkan oleh perusahaan, dan utang sewa pembiayaan. [cite: 1631, 1632]
[cite_start]Apa yang dimaksud dengan "Utang Usaha Jangka Panjang (Liabilitas Jangka Panjang)"?|Pos ini merupakan liabilitas yang terjadi dalam rangka kegiatan usaha normal perusahaan untuk membayar barang atau jasa yang telah diterima atau dipasok dan telah ditagih melalui faktur atau secara formal sudah disepakati dengan pemasok yang akan jatuh tempo dalam waktu lebih dari 12 (dua belas) bulan. [cite: 1636]
[cite_start]Apa yang dimaksud dengan "Liabilitas Jangka Panjang Lain (Liabilitas Jangka Panjang)"?|Pos ini merupakan liabilitas jangka panjang yang tidak termasuk kategori sebelumnya. [cite: 1641]
[cite_start]Apa yang dimaksud dengan "Pendapatan Usaha atau Operasional"?|Kolom ini diisi dengan pos pendapatan usaha atau operasional dalam satuan penuh mata uang Rupiah. [cite: 1646]
[cite_start]Apa yang dimaksud dengan "Beban Pokok Pendapatan atau Beban Operasional"?|Kolom ini diisi dengan pos beban pokok pendapatan atau beban operasional dalam satuan penuh mata uang Rupiah. [cite: 1649]
[cite_start]Apa yang dimaksud dengan "Laba atau Rugi Bruto"?|Kolom ini diisi dengan pos laba atau rugi bruto dalam satuan penuh mata uang Rupiah. [cite: 1652]
[cite_start]Apa yang dimaksud dengan "Pendapatan Lain-lain atau Non-Operasional"?|Kolom ini diisi dengan pos pendapatan lain-lain atau non operasional dalam satuan penuh mata uang Rupiah. [cite: 1655]
[cite_start]Apa yang dimaksud dengan "Beban Lain-lain atau Non-Operasional"?|Kolom ini diisi dengan pos beban lain-lain atau non-operasional dalam satuan penuh mata uang Rupiah. [cite: 1659]
[cite_start]Apa yang dimaksud dengan "Laba atau Rugi Sebelum Pajak"?|Kolom ini diisi dengan pos laba atau rugi sebelum pajak dalam satuan penuh mata uang Rupiah. [cite: 1662]
[cite_start]Apa yang dimaksud dengan "Laba atau Rugi Tahun Berjalan"?|Kolom ini diisi dengan pos laba atau rugi tahun berjalan dalam satuan penuh mata uang Rupiah. [cite: 1665]
